file,compare,region,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
./adapt_box/17302/17302_00027.swc,manual,CP,5302,12.5664,5,41,85,45,931.424,845.689,170.443,1.99962,12475.7,78386.8,39193.4,551.517,1106.02,6,0.864181,61.3647,1,68.922,81.4175,1.1634
./adapt_box/17302/17302_00027.swc,recons,CP,653,2827.43,4,36,74,39,1022,926.801,325.9,3.78377,11669.5,129288,166798,653.731,1394.59,6,0.913158,7.81081,0.953478,54.7356,58.2205,1.28057
./adapt_box/17302/17302_00010.swc,manual,CP,6923,12.5664,5,42,87,46,1014.85,873.847,164.326,1.99971,14949.1,93927.7,46963.8,516.163,1497.61,9,0.847168,78.5632,1,74.1463,78.9152,1.10141
./adapt_box/17302/17302_00010.swc,recons,CP,576,3216.99,3,38,77,40,1022,880.001,272,3.96319,10107.3,116896,156204,720.392,874.862,8,0.906396,6.46753,0.939253,54.485,59.9894,1.28886
./adapt_box/17302/17302_00011.swc,manual,CP,5061,12.5664,5,32,67,36,861.568,740.667,179.601,1.9996,11162.4,70135.3,35067.6,508.021,677.875,5,0.89105,74.5224,1,69.429,75.4167,1.0822
./adapt_box/17302/17302_00011.swc,recons,CP,602,3216.99,6,39,82,44,950.859,742,191.54,4.52126,10531.6,137895,225067,510.672,733.412,6,0.941516,6.32927,0.795513,50.4884,57.9894,1.37921
./adapt_box/17302/17302_00013.swc,manual,CP,5789,12.5664,4,48,98,51,732.225,726.433,188.336,1.99965,12622.9,79311.9,39655.9,475.854,1318.99,11,0.858607,58.0612,1,75.5465,72.2336,1.13023
./adapt_box/17302/17302_00013.swc,recons,CP,497,3631.68,4,31,64,34,734.158,736.2,188.66,4.67847,8789.12,120581,194577,480.554,551.685,8,0.936169,6.75,0.86093,48.4896,52.0986,1.33574
./adapt_box/17302/17302_00015.swc,manual,CP,15441,12.5664,7,65,135,71,1020.55,911.873,502.428,1.99987,32312.9,203028,101514,703.113,2391.75,15,0.849514,113.37,1,71.3685,93.155,1.16826
./adapt_box/17302/17302_00015.swc,recons,CP,1097,3631.68,6,53,110,58,1022,912,503.72,3.37138,19687.6,195191,268527,697.12,1051.12,14,0.895586,8.96364,0.88737,60.0162,69.1303,1.31726
./adapt_box/17302/17302_00031.swc,manual,CP,6907,12.5664,5,37,77,41,1021.58,1020.18,241.144,1.99971,15047.8,94547.8,47273.9,575.733,1476.34,11,0.871536,88.6883,1,73.8934,81.8186,1.08419
./adapt_box/17302/17302_00031.swc,recons,CP,595,4071.5,5,33,69,37,1022,1022,241.48,4.70655,10657.5,145690,239118,574.017,684.49,7,0.915777,7.6087,0.918599,44.7372,52.1481,1.29871
./adapt_box/17302/17302_00044.swc,manual,CP,10080,12.5664,8,44,94,51,943.148,914.4,269.838,1.9998,21476.1,134939,67469.3,700.03,1876.14,11,0.836562,106.223,1,80.8204,87.0691,1.12978
./adapt_box/17302/17302_00044.swc,recons,CP,407,3631.68,5,19,41,23,944,914.939,270,4.78084,7340.14,97051.6,163686,705.062,892.56,7,0.889107,8.90244,0.875929,58.3753,88.7818,1.19716
./adapt_box/17302/17302_00045.swc,manual,CP,5934,12.5664,5,39,81,43,1020.61,987.84,264.15,1.99966,14245.7,89508.5,44754.3,670.598,1501.13,10,0.87579,72.2469,1,66.6361,77.8461,1.13249
./adapt_box/17302/17302_00045.swc,recons,CP,571,3216.99,4,30,62,33,1022,990,284,3.75271,10369.5,111581,168430,687.063,1041.23,8,0.909341,8.19355,0.945934,55.5799,69.8321,1.27173
./adapt_box/17302/17302_00043.swc,manual,CP,11935,12.5664,7,84,173,90,1021.7,977.76,260.161,1.99983,26812.1,168466,84232.8,725.115,1814.96,15,0.882219,67.9827,1,80.0016,75.4032,1.17223
./adapt_box/17302/17302_00043.swc,recons,CP,624,2827.43,3,32,65,34,1022,980,260.26,3.57179,11301.2,114027,154513,661.087,838.345,9,0.906303,8.58462,0.815615,58.0615,59.698,1.30535
./adapt_box/17302/17302_00037.swc,manual,RT,5230,12.5664,8,32,70,39,663.592,881.281,169.32,1.99962,12741.5,80057.3,40028.7,512.416,791.464,6,0.850094,73.7,1,76.9879,64.5352,1.10218
./adapt_box/17302/17302_00037.swc,recons,RT,435,804.248,4,24,51,28,666,882,170,2.60138,7860.27,58233.8,59909.6,514.731,786.813,7,0.886997,7.5098,0.83384,55.6723,59.9897,1.25369
./adapt_box/17302/17302_00047.swc,manual,CP,9123,12.5664,3,51,103,53,733.912,1020.99,407.917,1.99978,17601.4,110593,55296.5,666.84,1965.15,14,0.873178,87.5631,1,75.4228,79.4232,1.16501
./adapt_box/17302/17302_00047.swc,recons,CP,700,3216.99,3,37,75,39,735.98,1022,408,3.43,12470.3,123013,163890,731.721,1072.92,10,0.923397,8.32,0.905152,57.9315,64.9025,1.36449
./adapt_box/17302/17302_00046.swc,manual,CP,6470,12.5664,3,36,73,38,835.523,1019.99,300.518,1.99969,13056.6,82036.8,41018.4,636.632,1887.09,11,0.845508,87.6164,1,62.7411,80.8768,1.11514
./adapt_box/17302/17302_00046.swc,recons,CP,540,2463.01,4,28,58,31,986,1022,335.58,3.55,9641.71,101828,133058,658.024,1200.03,10,0.886382,8.2931,0.91158,53.7517,69.8149,1.19894
