,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile
43726,18465,"[15687.579, 16770.619, 2777.781]","[15687.58, 16770.62, 2777.78]",0.0017320508076591,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00203.swc,[15685.184 16768.129  2774.64 ],4.669261826026939,,"[134.197, 240.211, 251.242]","[133.971, 240.185, 251.301]",698,OLF,698,OLF,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_7843.79_Y_8385.31_Z_1388.89.v3dpbd.swc
43727,18465,"[14703.711, 17092.797, 2730.644]","[14703.72, 17092.8, 2730.64]",0.010295630141141,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00204.swc,[14702.912 17086.08   2726.944],7.710154991954164,,"[132.253, 247.339, 263.028]","[131.995, 247.353, 263.085]",159,AON,159,AON,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_7351.86_Y_8546.4_Z_1365.32.v3dpbd.swc
43728,18465,"[15247.154, 17329.189, 3118.128]","[15247.16, 17329.18, 3118.12]",0.0134536240457584,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00205.swc,[15247.488 17325.824  3115.472],4.299897324353839,,"[157.085, 244.223, 258.198]","[156.817, 244.208, 258.254]",56,ACB,56,ACB,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_7623.58_Y_8664.59_Z_1559.06.v3dpbd.swc
43729,18465,"[13548.275, 16382.818, 3375.8]","[13548.28, 16382.82, 3375.8]",0.0053851648082316,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00206.swc,[13547.008 16389.312  3372.304],7.483270742130849,,"[174.966, 229.357, 279.075]","[174.769, 229.314, 279.123]",56,ACB,56,ACB,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_6774.14_Y_8191.41_Z_1687.9.v3dpbd.swc
43730,18465,"[15161.325, 16638.523, 3224.3]","[15161.32, 16638.52, 3224.3]",0.0058309518960332,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00207.swc,[15161.408 16636.48   3224.944],2.1437056700968924,,"[164.406, 233.646, 258.934]","[164.209, 233.535, 259.002]",56,ACB,56,ACB,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_7580.66_Y_8319.26_Z_1612.15.v3dpbd.swc
43732,18465,"[13884.123, 18224.678, 2680.364]","[13884.12, 18224.68, 2680.36]",0.0053851648065427,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00209.swc,[13884.8   18216.129  2675.984],9.62954464136205,,"[126.488, 264.016, 271.978]","[126.158, 264.033, 272.052]",0,,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_6942.06_Y_9112.34_Z_1340.18.v3dpbd.swc
43739,18465,"[12273.353, 19534.975, 3536.91]","[12273.36, 19534.98, 3536.9]",0.0131909059592365,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00213.swc,[12269.184 19531.328  3537.904],5.627539959874014,,"[173.903, 269.13, 295.774]","[173.721, 269.057, 295.826]",342,SI,342,SI,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_6136.68_Y_9767.49_Z_1768.45.v3dpbd.swc
43750,18465,"[5980.139, 13391.498, 5311.525]","[5980.14, 13391.5, 5311.52]",0.005477225574507,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00219.swc,[ 5976.896 13390.912  5308.032],4.802238436395902,,"[272.424, 183.086, 373.634]","[272.199, 183.035, 373.699]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_2990.07_Y_6695.75_Z_2655.76.v3dpbd.swc
43751,18465,"[7824.87, 14985.21, 6763.915]","[7824.88, 14985.2, 6763.92]",0.0149999999991147,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/pre_18465_00267.swc,[ 7812.369 14990.311  6763.257],13.517698250812206,,"[358.1, 200.035, 352.675]","[357.867, 199.992, 352.741]",484682470,ProS,484682470,ProS,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_3912.44_Y_7492.6_Z_3381.96.v3dpbd.swc
43752,18465,"[8231.878, 15536.323, 6694.225]","[8231.88, 15536.32, 6694.22]",0.0061644140028969,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/pre_18465_00268.swc,[ 8224.137 15534.284  6692.579],8.172509895986948,,"[354.832, 207.364, 346.115]","[354.628, 207.348, 346.108]",382,CA1,382,CA1,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_4115.94_Y_7768.16_Z_3347.11.v3dpbd.swc
43759,18465,"[9823.243, 13667.33, 5611.099]","[9823.24, 13667.34, 5611.1]",0.0104880884821038,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00226.swc,[ 9820.992 13664.     5612.   ],4.119187055718657,,"[292.285, 182.88, 322.765]","[291.993, 182.762, 322.663]",797,ZI,797,ZI,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_4911.62_Y_6833.67_Z_2805.55.v3dpbd.swc
43763,18465,"[10856.081, 13209.04, 5525.043]","[10856.08, 13209.04, 5525.04]",0.0031622776599497,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00230.swc,[10853.696 13206.976  5530.016],5.888892085953169,,"[288.144, 174.816, 309.623]","[287.855, 174.7, 309.601]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_5428.04_Y_6604.52_Z_2762.52.v3dpbd.swc
43768,18465,"[10500.89, 14359.918, 5234.608]","[10500.88, 14359.92, 5234.6]",0.0129614813969302,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00235.swc,[10484.992 14355.968  5224.992],18.995166753676227,,"[274.866, 189.332, 310.991]","[274.539, 189.238, 311.03]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_5250.44_Y_7179.96_Z_2617.3.v3dpbd.swc
43771,18465,"[10556.627, 14069.701, 5715.08]","[10556.62, 14069.7, 5715.08]",0.007071067811248,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00238.swc,[10557.12  14070.272  5707.856],7.263282040510658,,"[299.396, 189.061, 314.262]","[299.19, 189.047, 314.247]",797,ZI,797,ZI,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_5278.31_Y_7034.85_Z_2857.54.v3dpbd.swc
43774,18465,"[11941.633, 13056.582, 5167.595]","[11941.64, 13056.58, 5167.6]",0.0088317608661704,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00241.swc,[11932.032 13060.672  5163.984],11.042944444305204,,"[271.156, 168.681, 294.415]","[270.961, 168.611, 294.438]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_5970.82_Y_6528.29_Z_2583.8.v3dpbd.swc
43775,18465,"[11418.892, 14571.063, 5369.353]","[11418.9, 14571.06, 5369.36]",0.0110453610169672,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00242.swc,[11421.888 14571.2    5372.688],4.485198992241752,,"[283.171, 192.825, 301.073]","[282.951, 192.74, 301.101]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_5709.45_Y_7285.53_Z_2684.68.v3dpbd.swc
43776,18465,"[12785.896, 14068.56, 5289.53]","[12785.9, 14068.56, 5289.52]",0.0107703296132543,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00243.swc,[12785.984 14054.016  5290.72 ],14.592867435839928,,"[279.318, 183.707, 285.542]","[279.033, 183.607, 285.563]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_6392.95_Y_7034.28_Z_2644.76.v3dpbd.swc
43778,18465,"[13755.854, 15897.054, 5199.301]","[13755.86, 15897.06, 5199.3]",0.0085440037457807,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00245.swc,[13754.688 15888.32   5192.352],11.221894358797543,,"[277.155, 211.059, 274.5]","[276.851, 211.017, 274.556]",797,ZI,797,ZI,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_6877.93_Y_7948.53_Z_2599.65.v3dpbd.swc
43779,18465,"[9744.879, 18185.334, 5240.482]","[9744.88, 18185.34, 5240.48]",0.0064031242384532,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00246.swc,[ 9742.976 18177.023  5235.008],10.132068199531988,,"[279.418, 241.724, 328.036]","[279.174, 241.708, 328.079]",403,MEA,403,MEA,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_4872.44_Y_9092.67_Z_2620.24.v3dpbd.swc
43781,18465,"[10286.753, 16573.307, 6634.723]","[10286.76, 16573.3, 6634.72]",0.0103440804334012,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00248.swc,[10278.08  16571.713  6632.848],9.015397384475902,,"[352.742, 218.033, 322.036]","[352.524, 218.053, 321.981]",632,DG-sg,632,DG-sg,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_5143.38_Y_8286.65_Z_3317.36.v3dpbd.swc
43792,18465,"[20215.102, 15244.904, 4840.874]","[20215.2, 15244.9, 4840.88]",0.0982649479741288,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00258.swc,[20212.416 15241.216  4837.04 ],5.9594878974613295,,"[259.115, 197.027, 202.752]","[259.161, 196.958, 202.785]",366,SMT,366,SMT,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_10107.6_Y_7622.45_Z_2420.44.v3dpbd.swc
43795,18465,"[22385.377, 15693.251, 5003.288]","[22385.4, 15693.26, 5003.28]",0.0259615099723693,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00261.swc,[22382.016 15690.112  4995.024],9.457448810329284,,"[268.915, 200.654, 178.312]","[268.635, 200.588, 178.373]",685,VM,685,VM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_11192.7_Y_7846.63_Z_2501.64.v3dpbd.swc
43798,18465,"[26522.547, 15406.355, 3758.456]","[26522.6, 15406.36, 3758.46]",0.0533853912601293,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00264.swc,[26510.721 15401.984  3753.184],13.665793098094534,,"[203.422, 202.7, 120.547]","[203.172, 202.743, 120.626]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_13261.3_Y_7703.18_Z_1879.23.v3dpbd.swc
43819,18465,"[30652.994, 14577.097, 4642.901]","[30653.0, 14577.1, 4642.9]",0.006782329984507,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00281.swc,[30647.809 14574.784  4644.16 ],5.815434205626985,,"[242.774, 188.266, 64.303]","[242.498, 188.235, 64.332]",857,VISC6a,857,VISC6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_15326.5_Y_7288.55_Z_2321.45.v3dpbd.swc
43820,18465,"[27960.121, 16137.318, 4070.757]","[27960.2, 16137.32, 4070.76]",0.0790822356806273,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00282.swc,[27958.721 16140.224  4064.864],6.718056638641804,,"[219.235, 208.422, 102.615]","[218.987, 208.389, 102.602]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_13980.1_Y_8068.66_Z_2035.38.v3dpbd.swc
43821,18465,"[28815.359, 16658.629, 4271.738]","[28815.4, 16658.62, 4271.74]",0.0420238027803207,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00283.swc,[28820.928 16654.207  4266.976],8.558299422199529,,"[226.192, 213.775, 92.998]","[225.968, 213.669, 93.075]",579,ec,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_14407.7_Y_8329.31_Z_2135.87.v3dpbd.swc
43824,18465,"[27653.771, 18623.51, 5114.734]","[27653.8, 18623.5, 5114.74]",0.0312569992142798,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00285.swc,[27654.016 18623.488  5118.016],3.2912054022795982,,"[273.731, 243.165, 107.135]","[273.4, 243.115, 107.201]",303,BLAa,303,BLAa,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_13826.9_Y_9311.75_Z_2557.37.v3dpbd.swc
43833,18465,"[24683.17, 13180.114, 5232.474]","[24683.2, 13180.12, 5232.48]",0.0311769145387406,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00286.swc,[24678.977 13172.928  5234.832],8.647543524029848,,"[280.179, 161.106, 153.736]","[279.988, 161.045, 153.776]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_12341.6_Y_6590.06_Z_2616.24.v3dpbd.swc
43834,18465,"[24151.307, 13786.747, 5171.834]","[24151.4, 13786.74, 5171.84]",0.0934558719403922,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00287.swc,[24142.016 13777.472  5170.944],13.158282790699255,,"[277.687, 169.145, 160.06]","[277.579, 169.077, 160.119]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_12075.7_Y_6893.37_Z_2585.92.v3dpbd.swc
43835,18465,"[24092.775, 13691.18, 5250.406]","[24092.8, 13691.18, 5250.4]",0.0257099202623153,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00288.swc,[24095.104 13688.128  5257.616],8.168417533401975,,"[281.34, 167.598, 161.072]","[281.146, 167.533, 161.115]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_12046.4_Y_6845.59_Z_2625.2.v3dpbd.swc
43838,18465,"[24091.563, 14005.016, 5904.172]","[24091.6, 14005.02, 5904.18]",0.0380657326218401,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00291.swc,[24089.984 14008.576  5901.424],4.766376506318769,,"[313.552, 176.457, 161.314]","[313.281, 176.319, 161.38]",697,ml,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_12045.8_Y_7002.51_Z_2952.09.v3dpbd.swc
43839,18465,"[25425.941, 13238.632, 5588.157]","[25426.0, 13238.64, 5588.16]",0.0596154342442096,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00292.swc,[25425.408 13237.888  5580.944],7.270831726837984,,"[296.382, 164.771, 144.76]","[296.114, 164.666, 144.808]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_12713_Y_6619.32_Z_2794.08.v3dpbd.swc
43841,18465,"[25146.221, 14442.897, 5222.451]","[25146.2, 14442.9, 5222.46]",0.0230434372440377,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00294.swc,[25146.176 14426.688  5221.872],16.219400328003,,"[280.478, 180.125, 146.91]","[280.374, 180.049, 146.978]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_12573.1_Y_7221.45_Z_2611.23.v3dpbd.swc
43847,18465,"[26270.541, 13576.431, 6031.097]","[26270.6, 13576.44, 6031.1]",0.0597578446708476,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00300.swc,[26268.225 13581.184  6028.992],5.69086021617105,,"[318.536, 175.584, 135.717]","[318.489, 175.497, 135.718]",797,ZI,797,ZI,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_13135.3_Y_6788.22_Z_3015.55.v3dpbd.swc
43849,18465,"[25991.156, 13431.875, 6214.62]","[25991.2, 13431.88, 6214.62]",0.0442831796525559,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00302.swc,[25998.977 13430.016  6211.008],8.813084930942207,,"[329.747, 174.639, 138.129]","[329.497, 174.516, 138.169]",549,TH,549,TH,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_12995.6_Y_6715.94_Z_3107.31.v3dpbd.swc
43852,18465,"[25007.58, 15241.048, 5248.03]","[25007.6, 15241.04, 5248.02]",0.0237486841710249,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00305.swc,[24999.424 15244.096  5250.304],8.99898416489541,,"[281.593, 192.628, 147.29]","[281.643, 192.573, 147.363]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_12503.8_Y_7620.52_Z_2624.01.v3dpbd.swc
43856,18465,"[27261.748, 18828.063, 5195.827]","[27261.8, 18828.06, 5195.82]",0.0525547333734629,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00309.swc,[27246.912 18833.279  5191.184],16.39728639135098,,"[278.489, 246.202, 112.687]","[278.261, 246.182, 112.709]",334,BMAp,334,BMAp,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18465/Img_X_13630.9_Y_9414.03_Z_2597.91.v3dpbd.swc
44222,18467,"[3371.743, 9858.882, 6829.509]","[3371.74, 9858.88, 6829.5]",0.0096953597149786,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18467/pre_18467_00104.swc,[3368.875 9863.574 6829.568],5.499433516282225,,"[317.321, 135.395, 405.217]","[317.099, 135.306, 405.253]",847,AUDp5,847,AUDp5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18467/Img_X_1685.87_Y_4929.44_Z_3414.75.v3dpbd.swc
44613,18467,"[29934.426, 17952.877, 7139.912]","[29934.4, 17952.88, 7139.92]",0.0273678643649395,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18467/pre_18467_00495.swc,[29935. 17957.  7139.],4.261496098789452,,"[341.817, 239.706, 81.189]","[341.703, 239.624, 81.212]",566,TR,566,TR,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18467/Img_X_14967.2_Y_8976.44_Z_3569.96.v3dpbd.swc
44649,18469,"[7517.976, 20460.146, 4918.454]","[7517.98, 20460.2, 4918.46]",0.054479353887619,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18469/pre_18469_00001.swc,[ 7502.556 20454.432  4907.5  ],19.758955235538025,,"[244.906, 46.856, 150.573]","[244.671, 46.797, 150.536]",1094,SSp-ll4,1094,SSp-ll4,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18469/Img_X_3758.99_Y_10230.1_Z_2459.23.v3dpbd.swc
44734,18469,"[6252.558, 26446.438, 5366.219]","[6252.56, 26446.4, 5366.22]",0.0380657326182084,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18469/pre_18469_00086.swc,[ 6248.216 26435.158  5351.663],18.920055496746965,,"[271.42, 29.45, 211.057]","[271.08, 29.372, 211.04]",610,RSPd5,610,RSPd5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18469/Img_X_3126.28_Y_13223.2_Z_2683.11.v3dpbd.swc
45005,18470,"[19291.289, 16120.305, 3222.672]","[19291.28, 16120.3, 3222.68]",0.0130384048119454,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18470/18470_3227_x19287_y16117.swc,[19285.824 16118.272  3226.048],6.737706583103605,,"[193.475, 97.39, 336.945]","[193.238, 97.44, 336.98]",974,SSp-m5,974,SSp-m5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18470/Img_X_9645.64_Y_8060.15_Z_1611.34.v3dpbd.swc
45010,18470,"[23461.398, 24791.576, 4629.023]","[23461.4, 24791.6, 4629.02]",0.0242693221966598,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18470/18470_4630_x23468_y24795.swc,[23461.889 24791.424  4625.376],3.683041406229136,,"[276.947, 25.829, 257.227]","[276.714, 25.875, 257.251]",610,RSPd5,610,RSPd5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18470/Img_X_11730.7_Y_12395.8_Z_2314.51.v3dpbd.swc
45115,18470,"[22457.43, 29711.268, 3581.338]","[22457.4, 29711.2, 3581.34]",0.0743505211806545,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18470/18470_3582_x22459_y29708.swc,[22466.176 29704.832  3582.944],10.976968980552169,,"[221.793, 38.556, 204.188]","[221.581, 38.628, 204.212]",962,MOs2/3,962,MOs2/3,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18470/Img_X_11228.7_Y_14855.6_Z_1790.67.v3dpbd.swc
55446,18864,"[6806.012, 7558.855, 2549.354]","[6806.02, 7558.86, 2549.36]",0.011180339888231,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18864/pre_18864_00174.swc,[6802.471 7553.55  2543.333],8.771211261849265,,"[132.366, 145.633, 104.997]","[132.092, 145.68, 104.885]",943,MOp2/3,943,MOp2/3,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18864/Img_X_3403.01_Y_3779.43_Z_1274.68.v3dpbd.swc
55449,18864,"[5822.779, 8230.127, 2490.732]","[5822.78, 8230.12, 2490.74]",0.0106770782515658,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18864/pre_18864_00247.swc,[5824. 8223. 2485.],9.227176924715618,,"[126.549, 131.616, 111.888]","[126.275, 131.666, 111.782]",943,MOp2/3,943,MOp2/3,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18864/Img_X_2911.39_Y_4115.06_Z_1245.37.v3dpbd.swc
55451,18864,"[6052.194, 4259.673, 5146.61]","[6052.2, 4259.68, 5146.6]",0.0136014705082299,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18864/18864_00002.swc,[6056.    4262.016 5148.   ],4.6805325551690204,,"[251.58100000000002, 84.28, 70.113]","[251.45499999999998, 84.279, 70.035]",201,SSp-bfd2/3,201,SSp-bfd2/3,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18864/Img_X_3026.1_Y_2129.84_Z_2573.3.v3dpbd.swc
