,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile
42327,18462,"[10662.499, 10190.046, 5511.555]","[10662.5, 10190.04, 5511.56]",0.0078740078736523,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00016.swc,[10665.984 10190.016  5510.   ],3.8163005646836834,,"[279.438, 165.324, 310.552]","[279.37, 165.262, 310.628]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5331.25_Y_5095.02_Z_2755.78.v3dpbd.swc
42328,18462,"[10984.494, 9584.523, 5771.694]","[10984.5, 9584.52, 5771.7]",0.0089999999988018,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00017.swc,[10985.024  9583.744  5770.56 ],1.4743462958194955,,"[293.498, 155.217, 309.885]","[293.369, 155.131, 309.949]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5492.25_Y_4792.26_Z_2885.85.v3dpbd.swc
42329,18462,"[10750.183, 9914.642, 5732.643]","[10750.18, 9914.64, 5732.64]",0.0046904157601972,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00018.swc,[10755.008  9914.24   5733.632],4.941695053318109,,"[290.956, 162.016, 311.926]","[290.816, 161.922, 312.004]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5375.09_Y_4957.32_Z_2866.32.v3dpbd.swc
42330,18462,"[11428.491, 9977.017, 5800.095]","[11428.5, 9977.02, 5800.1]",0.0107238052949976,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00019.swc,[11427.584  9978.688  5800.688],1.991617182090818,,"[296.999, 162.727, 301.153]","[296.842, 162.637, 301.23]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5714.25_Y_4988.51_Z_2900.05.v3dpbd.swc
42331,18462,"[10269.155, 8859.094, 6026.539]","[10269.16, 8859.1, 6026.54]",0.0078740078744608,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00020.swc,[10270.016  8859.008  6028.992],2.6011393657396007,,"[305.049, 147.088, 324.675]","[304.925, 147.002, 324.74]",496345668,LGd-co,496345668,LGd-co,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5134.58_Y_4429.55_Z_3013.27.v3dpbd.swc
42332,18462,"[10215.084, 9055.893, 5957.591]","[10215.08, 9055.9, 5957.6]",0.0120830459736475,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00021.swc,[10219.2    9059.328  5957.008],5.392640355150435,,"[300.943, 149.759, 324.737]","[300.777, 149.625, 324.816]",549,TH,549,TH,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5107.54_Y_4527.95_Z_2978.8.v3dpbd.swc
42333,18462,"[11252.946, 9738.179, 6383.895]","[11252.94, 9738.18, 6383.9]",0.0078740078730748,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00023.swc,[11262.208  9738.688  6380.224],9.975969426577732,,"[326.252, 167.499, 306.967]","[326.192, 167.416, 307.027]",1088,MGm,1088,MGm,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5626.47_Y_4869.09_Z_3191.95.v3dpbd.swc
42334,18462,"[9517.13, 8248.765, 6626.286]","[9517.12, 8248.76, 6626.28]",0.0126885775390205,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00024.swc,[9516.032 8250.88  6629.104],3.690522049791895,,"[339.745, 147.11, 337.384]","[339.649, 147.054, 337.466]",10703,DG-mo,10703,DG-mo,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_4758.56_Y_4124.38_Z_3313.14.v3dpbd.swc
42337,18462,"[10180.272, 8478.652, 6639.341]","[10180.28, 8478.66, 6639.34]",0.0113578166913519,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00025.swc,[10182.912  8476.928  6638.464],3.272751900159588,,"[340.114, 150.221, 326.175]","[340.075, 150.165, 326.26]",1079,MGv,1079,MGv,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5090.14_Y_4239.33_Z_3319.67.v3dpbd.swc
42338,18462,"[10616.193, 9089.761, 6803.477]","[10616.2, 9089.76, 6803.48]",0.0076811457490782,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00026.swc,[10612.224  9088.     6801.936],4.607468176775092,,"[346.991, 162.04, 318.308]","[346.793, 161.929, 318.37]",1088,MGm,1088,MGm,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5308.1_Y_4544.88_Z_3401.74.v3dpbd.swc
